"","SAMPLE_ID","CLAY","SILT","SAND","SOC","CaCO3","N","P","K","CEC","GPS_PROJ","GPS_LAT","GPS_LONG","LC1","LC2","LU1","LU2","MINERAL","COUNTRY"
"47","15895",4,6,90,9.9,1,0.5,0,29.4,3.3,"WGS84",51.39111,17.64633,"C30","8","U400","8","mineral","POLAND"
"48","15896",4,12,85,33.4,0,2.1,43,42.6,8.5,"WGS84",51.68445,16.67651,"C10","8","U400","8","mineral","POLAND"
"49","15897",11,16,73,18.2,0,1.8,45.3,249.8,12.7,"WGS84",51.72463,16.27531,"B16","8","U111","8","mineral","POLAND"
"50","15898",13,66,21,13,1,1.2,72.4,251.2,9.9,"WGS84",51.08145,15.8151,"B16","8","U111","8","mineral","POLAND"
"51","15899",23,63,14,18.8,1,1.8,12.5,86.4,7.5,"WGS84",51.02048,15.95045,"E20","8","U364","8","mineral","POLAND"
"52","15900",12,53,35,19.5,1,1.8,30.3,141.9,7.3,"WGS84",51.02371,15.52175,"E20","8","U400","8","mineral","POLAND"
"53","15901",23,62,15,20,1,1.6,29.2,136.7,7.1,"WGS84",50.95739,15.39963,"E20","8","U112","8","mineral","POLAND"
"54","15902",12,37,51,32.5,1,2.7,62.7,148.4,10.7,"WGS84",50.93276,15.53948,"E20","8","U111","8","mineral","POLAND"
"55","15903",NA,NA,NA,274.1,1,10.1,0,117.3,26.5,"WGS84",50.88435,15.41964,"C30","8","U120","8","organic","POLAND"
"56","15904",16,62,22,20.2,1,1.9,67.8,186.7,7,"WGS84",50.90934,15.65083,"B15","8","U111","8","mineral","POLAND"
"57","15905",15,29,56,22.8,13,1.7,0,82.8,15.1,"WGS84",50.92306,15.73809,"E10","8","U400","8","mineral","POLAND"
"58","15906",16,65,19,40,1,3,25.9,97.9,13.9,"WGS84",50.69226,16.02221,"E10","8","U364","8","mineral","POLAND"
"59","15907",11,18,71,15.6,1,1.4,0,70.2,7.8,"WGS84",50.68477,16.16331,"E20","8","U111","8","mineral","POLAND"
"60","15908",24,49,27,24,2,2.3,0,72.7,10.8,"WGS84",50.85342,16.04308,"B15","8","U111","8","mineral","POLAND"
"61","15909",2,19,79,46.8,0,2,22,67.4,9.7,"WGS84",50.47261,17.86302,"C30","8","U120","8","mineral","POLAND"
"62","15910",6,56,38,10.4,0,0.9,36.2,138.8,3.1,"WGS84",50.41511,17.91003,"B14","8","U111","8","mineral","POLAND"
"63","15911",13,80,7,12.5,0,1.3,17.5,105.1,10.1,"WGS84",50.36921,17.78917,"B32","8","U111","8","mineral","POLAND"
"64","15912",21,72,7,12.3,9,1.2,50,287.4,11,"WGS84",50.31752,17.7524,"B11","8","U111","8","mineral","POLAND"
"65","15913",9,29,61,146.8,0,5.9,76.9,152.9,2.3,"WGS84",50.54207,17.90307,"C10","8","U400","8","organic","POLAND"
"66","15914",31,36,34,27,119,2.2,35.6,456,11.6,"WGS84",50.57581,17.93725,"B11","8","U111","8","mineral","POLAND"
"67","15915",18,80,2,19.8,1,1.6,22.3,201.8,7.8,"WGS84",50.03803,17.87536,"B22","8","U111","8","mineral","POLAND"
"68","15916",15,81,4,15.5,1,1.5,21.1,154,16.6,"WGS84",50.03031,17.98651,"B32","8","U111","8","mineral","POLAND"
"69","15917",18,72,10,12,2,1.1,49.6,280.5,13,"WGS84",50.22054,17.8493,"B45","8","U111","8","mineral","POLAND"
"70","15918",8,23,69,8.8,0,0.8,38.2,164.1,2.9,"WGS84",51.33236,16.19261,"E20","8","U112","8","mineral","POLAND"
"71","15920",8,24,67,11.3,1,1.2,43.2,153.1,7,"WGS84",51.31055,17.19847,"E30","8","U112","8","mineral","POLAND"
"72","15921",7,59,34,9.7,1,0.9,47.6,136.1,4.1,"WGS84",51.26764,15.69487,"B11","8","U111","8","mineral","POLAND"
"73","15922",9,24,67,13.6,0,1.3,28.7,173.1,5.4,"WGS84",50.69712,16.59138,"B11","8","U111","8","mineral","POLAND"
"74","15923",NA,NA,NA,258.1,2,3.9,0,163.6,16.6,"WGS84",50.76971,16.2599,"C10","8","U400","8","organic","POLAND"
"75","15924",8,14,78,26.3,19,1.7,54.9,180.7,11.2,"WGS84",51.33007,17.46129,"E10","8","U400","8","mineral","POLAND"
"76","15925",4,16,80,17.4,1,1.2,11.1,56.2,0,"WGS84",51.3005,16.76445,"C30","8","U120","8","mineral","POLAND"
"77","15926",11,73,16,14.9,2,1.6,70,285.3,11,"WGS84",51.32274,16.99846,"B11","8","U111","8","mineral","POLAND"
"78","15927",5,14,81,14.9,0,1.3,65.4,126.7,4.3,"WGS84",51.28152,16.47345,"B14","8","U111","8","mineral","POLAND"
"79","15928",5,23,72,7.1,0,0.8,37,82.4,5.6,"WGS84",51.42094,16.55117,"B14","8","U111","8","mineral","POLAND"
"80","15929",5,12,82,16.9,1,1.1,31.7,63.1,2.8,"WGS84",51.32311,16.36429,"C10","8","U400","8","mineral","POLAND"
"81","15930",8,20,73,13.4,0,1.1,34.6,173.7,5.4,"WGS84",51.48416,16.38675,"E30","8","U400","8","mineral","POLAND"
"82","15931",19,43,38,25.7,23,2.6,33.3,141,23.9,"WGS84",50.9477,17.22775,"B11","8","U111","8","mineral","POLAND"
"83","15932",11,54,36,10.2,2,1.1,37.9,171,9,"WGS84",50.72422,17.33547,"B32","8","U111","8","mineral","POLAND"
"84","15934",4,22,74,15.8,0,1.4,23.3,140.7,7.7,"WGS84",50.65597,17.55238,"E10","8","U400","8","mineral","POLAND"
"85","15935",14,62,23,16.5,5,1.9,62.2,273.8,15.3,"WGS84",50.81683,17.57849,"B11","8","U111","8","mineral","POLAND"
"86","15936",5,29,67,8.6,2,1.2,34.6,141.5,5.5,"WGS84",50.72644,17.84883,"B22","8","U111","8","mineral","POLAND"
"87","15937",16,50,34,14,1,1.5,28.5,180.4,12.3,"WGS84",50.8024,16.94843,"B16","8","U111","8","mineral","POLAND"
"88","15938",9,70,20,11.7,2,1.2,54.8,280.7,9.2,"WGS84",50.75553,16.82751,"B16","8","U111","8","mineral","POLAND"
"89","15939",15,74,12,12.8,1,1.4,21.4,101.7,11,"WGS84",50.69914,17.16072,"B11","8","U111","8","mineral","POLAND"
"90","15940",12,83,5,10.1,2,1.1,19.2,104.9,8.4,"WGS84",50.69849,16.87602,"B16","8","U111","8","mineral","POLAND"
"91","15942",20,65,15,41.2,0,3.2,13.7,169.2,12.7,"WGS84",50.61562,16.43793,"E20","8","U111","8","mineral","POLAND"
"92","15943",18,73,9,13.6,2,1.3,36.7,106.3,12.9,"WGS84",50.50345,16.50756,"B11","8","U111","8","mineral","POLAND"
"93","15944",14,42,44,30.8,1,2.4,17.9,103.3,7.7,"WGS84",50.28366,16.87199,"E10","8","U111","8","mineral","POLAND"
